date,nofu,stumpage_price
2019-09-08,884053.0,60.93
2019-09-15,1316418.0,60.59
2019-09-22,939181.0,60.22
2019-09-29,803921.0,59.88
2019-10-06,859668.0,59.8
2019-10-13,938787.0,59.41
2019-10-20,1015970.0,59.37
2019-10-27,896114.0,59.26
2019-11-03,875032.0,59.1
2019-11-10,875054.0,59.0
2019-11-17,886368.0,58.81
2019-11-24,1176292.0,58.64
2019-12-01,621427.0,58.43
2019-12-08,788439.0,58.39
2019-12-15,684650.0,58.17
2019-12-22,1240715.0,58.04
2019-12-29,667155.0,57.98
2020-01-05,103927.0,57.91
2020-01-12,274707.0,
2020-01-19,689268.0,57.98
2020-01-26,904244.0,58.16
2020-02-02,900193.0,58.3
2020-02-09,763990.0,58.25
2020-02-16,702262.0,58.52
2020-02-23,610493.0,58.48
2020-03-01,816553.0,58.7
2020-03-08,683956.0,58.83
2020-03-15,719042.0,58.78
2020-03-22,908808.0,59.06
2020-03-29,1291824.0,59.12
2020-04-05,1267836.0,59.22
2020-04-12,1849195.0,59.27
2020-04-19,896730.0,59.27
2020-04-26,798573.0,59.13
2020-05-03,1007585.0,59.07
2020-05-10,824649.0,58.93
2020-05-17,1484894.0,58.81
2020-05-24,1038944.0,58.67
2020-05-31,743409.0,58.61
2020-06-07,1318276.0,58.56
2020-06-14,1240593.0,58.54
2020-06-21,1186733.0,58.63
2020-06-28,743367.0,58.64
2020-07-05,779657.0,58.85
2020-07-12,846880.0,58.9
2020-07-19,655837.0,59.03
2020-07-26,397763.0,58.94
2020-08-02,396527.0,58.62
2020-08-09,504561.0,58.38
2020-08-16,955506.0,58.11
2020-08-23,725010.0,58.39
2020-08-30,898092.0,58.42
2020-09-06,1014551.0,58.75
2020-09-13,1109836.0,59.11
2020-09-20,1491819.0,59.34
2020-09-27,1051200.0,59.52
2020-10-04,1307271.0,59.61
2020-10-11,1496274.0,59.67
2020-10-18,1383483.0,59.79
2020-10-25,1236570.0,59.94
2020-11-01,1500092.0,59.95
2020-11-08,1451627.0,60.05
2020-11-15,1641551.0,60.29
2020-11-22,1963683.0,60.49
2020-11-29,1799992.0,60.92
2020-12-06,1939027.0,61.21
2020-12-13,1786351.0,61.45
2020-12-20,2071465.0,61.86
2020-12-27,1606004.0,62.11
2021-01-03,647054.0,62.23
2021-01-10,1015828.0,
2021-01-17,1469569.0,62.77
2021-01-24,1282152.0,62.77
2021-01-31,1210049.0,62.84
2021-02-07,1227684.0,62.87
2021-02-14,1110363.0,62.98
2021-02-21,1045778.0,63.15
2021-02-28,833849.0,63.25
2021-03-07,843074.0,63.52
2021-03-14,949248.0,63.79
2021-03-21,1296753.0,64.04
2021-03-28,985258.0,64.32
2021-04-04,665982.0,64.4
2021-04-11,850530.0,64.87
2021-04-18,1302602.0,65.26
2021-04-25,1975598.0,65.75
2021-05-02,2212930.0,66.38
2021-05-09,2249067.0,66.68
2021-05-16,1588945.0,67.15
2021-05-23,2295183.0,67.84
2021-05-30,2560423.0,68.44
2021-06-06,3292202.0,69.01
2021-06-13,2430557.0,69.16
2021-06-20,2096058.0,69.21
2021-06-27,1633807.0,69.12
2021-07-04,1815648.0,68.67
2021-07-11,1435045.0,68.22
2021-07-18,912679.0,68.03
2021-07-25,734467.0,67.72
2021-08-01,823130.0,67.44
2021-08-08,1203878.0,67.58
2021-08-15,1675799.0,67.41
2021-08-22,1349779.0,67.31
2021-08-29,1270736.0,67.18
2021-09-05,1470356.0,66.98
2021-09-12,1780111.0,66.85
2021-09-19,1291852.0,66.75
2021-09-26,1274273.0,66.57
2021-10-03,1335902.0,66.42
2021-10-10,1509199.0,66.24
2021-10-17,1222922.0,66.3
2021-10-24,1434830.0,66.27
2021-10-31,1204782.0,66.26
2021-11-07,1300152.0,66.29
2021-11-14,1239979.0,66.2
2021-11-21,1369273.0,66.23
2021-11-28,1243360.0,66.03
2021-12-05,2029748.0,66.25
2021-12-12,1109220.0,66.23
2021-12-19,1140712.0,66.24
2021-12-26,709043.0,66.54
2022-01-02,550251.0,66.31
2022-01-09,804973.0,
2022-01-16,1142242.0,66.42
2022-01-23,1127682.0,66.3
2022-01-30,993883.0,66.38
2022-02-06,1120338.0,66.48
2022-02-13,927432.0,66.57
2022-02-20,797754.0,66.68
2022-02-27,879788.0,66.74
2022-03-06,748825.0,66.78
2022-03-13,868885.0,66.82
2022-03-20,689811.0,66.91
2022-03-27,832763.0,67.03
2022-04-03,867856.0,67.31
2022-04-10,1867307.0,67.61
2022-04-17,875548.0,67.92
2022-04-24,594252.0,68.23
2022-05-01,934804.0,68.43
2022-05-08,1063847.0,69.5
2022-05-15,1251889.0,70.39
